devicename,deviceid,timestamp,incr,tokenid,seqnb,timestamp1,otl,otl_Unit,tt,tt_Unit,oga,oga_Unit,devicelist,ole,size_Unit,owi,ohe,oa,oa_Unit,obv,obv_Unit,orv,orv_Unit,otve,otve_Unit,speed,speed_Unit,owe,owe_Unit,TooBig,NoRead,LFT,MultiRead,Irreg,TooSmall,Gap,ValidDim,ValidRead,Clipping,PeError
0089PS06CT1,32.0,2017-07-03T22:58:01.685,40612.0,0089PS06CT12017-07-03T22:57:59313,2227.0,2017-07-03T22:57:59.631,15.19,inch,140.0,ms,220.07,inch,FC300008,14.0,inch,12.4,8.4,-43.0,degree/10,14582.0,inch3/10,0.0,inch3/10,2762.0,mm/sec,539.37,ft/min,3.2,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:58:03.632,45802.0,0089PS06CT12017-07-03T22:58:01314,2228.0,2017-07-03T22:58:01.588,24.84,inch,231.0,ms,186.18,inch,FC300008,24.0,inch,12.6,6.6,-21.0,degree/10,19958.0,inch3/10,0.0,inch3/10,2767.0,mm/sec,539.37,ft/min,7.8,LB,0,1,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:58:05.903,51863.0,0089PS06CT12017-07-03T22:58:03315,2229.0,2017-07-03T22:58:03.863,24.88,inch,231.0,ms,220.07,inch,FC300008,24.8,inch,12.6,6.8,-20.0,degree/10,21249.0,inch3/10,0.0,inch3/10,2751.0,mm/sec,539.37,ft/min,2.2,LB,0,1,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:58:09.858,62408.0,0089PS06CT12017-07-03T22:58:07316,2230.0,2017-07-03T22:58:07.818,24.25,inch,225.0,ms,402.08,inch,FC300008,24.0,inch,17.8,6.6,-16.0,degree/10,28195.0,inch3/10,0.0,inch3/10,2791.0,mm/sec,539.37,ft/min,32.6,LB,0,1,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:58:12.475,3847.0,0089PS06CT12017-07-03T22:58:10317,2231.0,2017-07-03T22:58:10.431,27.28,inch,253.0,ms,254.72,inch,FC300008,26.8,inch,24.8,14.6,-5.0,degree/10,97037.0,inch3/10,0.0,inch3/10,2757.0,mm/sec,539.37,ft/min,7.6,LB,0,1,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:58:12.789,4687.0,0089PS06CT12017-07-03T22:58:10318,2232.0,2017-07-03T22:58:10.747,13.3,inch,124.0,ms,20.59,inch,FC300008,13.2,inch,15.0,4.8,-897.0,degree/10,9504.0,inch3/10,0.0,inch3/10,2757.0,mm/sec,539.37,ft/min,8.2,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:58:13.792,7357.0,0089PS06CT12017-07-03T22:58:11319,2233.0,2017-07-03T22:58:11.738,26.06,inch,242.0,ms,80.62,inch,FC300008,24.6,inch,12.4,7.0,-42.0,degree/10,21353.0,inch3/10,0.0,inch3/10,2749.0,mm/sec,539.37,ft/min,10.7,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:58:14.798,10042.0,0089PS06CT12017-07-03T22:58:12320,2234.0,2017-07-03T22:58:12.744,19.37,inch,179.0,ms,89.13,inch,FC300008,18.2,inch,12.4,6.6,-45.0,degree/10,14895.0,inch3/10,0.0,inch3/10,2754.0,mm/sec,539.37,ft/min,6.0,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:58:16.063,13417.0,0089PS06CT12017-07-03T22:58:14321,2235.0,2017-07-03T22:58:14.020,25.47,inch,236.0,ms,112.16,inch,FC300008,24.0,inch,12.4,6.6,-36.0,degree/10,19642.0,inch3/10,0.0,inch3/10,2767.0,mm/sec,539.37,ft/min,2.2,LB,0,1,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:58:19.403,22327.0,0089PS06CT12017-07-03T22:58:17322,2236.0,2017-07-03T22:58:17.363,21.25,inch,197.0,ms,338.97,inch,FC300008,20.0,inch,15.6,6.6,-35.0,degree/10,20592.0,inch3/10,0.0,inch3/10,2797.0,mm/sec,539.37,ft/min,18.1,LB,0,1,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:58:21.284,27336.0,0089PS06CT12017-07-03T22:58:19323,2237.0,2017-07-03T22:58:19.228,10.9,inch,101.0,ms,190.43,inch,FC300008,9.6,inch,7.0,4.4,-78.0,degree/10,2957.0,inch3/10,0.0,inch3/10,2751.0,mm/sec,539.37,ft/min,3.1,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:58:21.616,28221.0,0089PS06CT12017-07-03T22:58:19324,2238.0,2017-07-03T22:58:19.566,13.93,inch,130.0,ms,22.4,inch,FC300008,13.0,inch,5.6,6.8,-17.0,degree/10,4950.0,inch3/10,0.0,inch3/10,2762.0,mm/sec,539.37,ft/min,4.1,LB,0,1,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:58:22.609,30877.0,0089PS06CT12017-07-03T22:58:20325,2239.0,2017-07-03T22:58:20.558,15.15,inch,140.0,ms,91.57,inch,FC300008,14.8,inch,7.8,7.6,13.0,degree/10,8773.0,inch3/10,0.0,inch3/10,2773.0,mm/sec,539.37,ft/min,27.6,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:58:23.285,32692.0,0089PS06CT12017-07-03T22:58:21326,2240.0,2017-07-03T22:58:21.249,24.84,inch,231.0,ms,49.72,inch,FC300008,24.2,inch,17.8,6.6,-21.0,degree/10,28430.0,inch3/10,0.0,inch3/10,2789.0,mm/sec,539.37,ft/min,32.4,LB,0,1,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:58:23.881,34281.0,0089PS06CT12017-07-03T22:58:21327,2241.0,2017-07-03T22:58:21.833,12.67,inch,118.0,ms,50.31,inch,FC300008,12.4,inch,9.4,7.4,-3.0,degree/10,8625.0,inch3/10,0.0,inch3/10,2767.0,mm/sec,539.37,ft/min,20.4,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:58:24.405,35677.0,0089PS06CT12017-07-03T22:58:22328,2242.0,2017-07-03T22:58:22.354,15.15,inch,140.0,ms,41.25,inch,FC300008,15.0,inch,7.8,7.6,-5.0,degree/10,8892.0,inch3/10,0.0,inch3/10,2757.0,mm/sec,539.37,ft/min,27.0,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:58:26.015,39967.0,0089PS06CT12017-07-03T22:58:23329,2243.0,2017-07-03T22:58:23.953,12.12,inch,113.0,ms,160.7,inch,FC300008,12.0,inch,13.2,9.4,-891.0,degree/10,14890.0,inch3/10,0.0,inch3/10,2751.0,mm/sec,539.37,ft/min,9.8,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:58:27.420,43717.0,0089PS06CT12017-07-03T22:58:25330,2244.0,2017-07-03T22:58:25.367,15.15,inch,140.0,ms,137.04,inch,FC300008,14.6,inch,8.0,7.4,-5.0,degree/10,8643.0,inch3/10,0.0,inch3/10,2767.0,mm/sec,539.37,ft/min,26.9,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:58:27.906,45022.0,0089PS06CT12017-07-03T22:58:25331,2245.0,2017-07-03T22:58:25.867,25.47,inch,235.0,ms,28.5,inch,FC300008,24.2,inch,17.4,6.6,-19.0,degree/10,27791.0,inch3/10,0.0,inch3/10,2812.0,mm/sec,539.37,ft/min,29.3,LB,0,1,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:58:28.678,47077.0,0089PS06CT12017-07-03T22:58:26332,2246.0,2017-07-03T22:58:26.625,10.9,inch,101.0,ms,70.94,inch,FC300008,10.6,inch,5.2,7.0,-15.0,degree/10,3858.0,inch3/10,0.0,inch3/10,2762.0,mm/sec,539.37,ft/min,4.0,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:58:29.447,49132.0,0089PS06CT12017-07-03T22:58:27333,2247.0,2017-07-03T22:58:27.438,12.71,inch,117.0,ms,70.31,inch,FC300008,11.6,inch,11.8,12.2,857.0,degree/10,16699.0,inch3/10,0.0,inch3/10,2767.0,mm/sec,539.37,ft/min,8.4,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:58:29.766,49987.0,0089PS06CT12017-07-03T22:58:27334,2248.0,2017-07-03T22:58:27.714,15.15,inch,140.0,ms,19.37,inch,FC300008,14.8,inch,8.0,7.6,-11.0,degree/10,8998.0,inch3/10,0.0,inch3/10,2759.0,mm/sec,539.37,ft/min,27.6,LB,0,0,1,0,0,0,0,1,1,0,0
0089PS06CT1,32.0,2017-07-03T22:58:31.098,53542.0,0089PS06CT12017-07-03T22:58:29335,2249.0,2017-07-03T22:58:29.058,21.22,inch,197.0,ms,123.7,inch,FC300008,20.4,inch,15.6,6.8,-13.0,degree/10,21640.0,inch3/10,0.0,inch3/10,2773.0,mm/sec,539.37,ft/min,41.9,LB,0,1,1,0,0,0,0,1,1,0,0
